LLM,Hallucination %,Answer %,Avg Summary Words
google/gemini-2.0-flash-001,0.7,100,65.2
openai/o3-mini-high-reasoning,0.795,100,79.519
google/gemini-2.0-pro-exp-02-05,0.8,99.7,61.5
google/gemini-2.5-pro-exp-03-25,1.1,95.1,72.9
openai/gpt-4.5-preview,1.2,100,77
google/gemini-2.0-flash-lite-preview-02-05,1.2,99.5,60.9
gemini-2.0-flash-exp,1.3,99.9,60
google/gemini-2.5-flash-preview-04-17,1.3,91.2,71.1
THUDM/glm-4-9b-chat,1.3,100,58.1
openai/o1-mini,1.4,100,78.3
openai/GPT-4o,1.491,100,77.8
amazon/nova-micro-v1,1.6,100,90
openai/GPT-4o-mini,1.69,100,76.3
openai/GPT-4-Turbo,1.69,100,86.2
google/gemini-2.0-flash-thinking-exp,1.8,99.3,73.2
amazon/nova-pro-v1,1.8,100,85.5
amazon/nova-lite-v1,1.8,99.9,80.7
openai/GPT-4,1.805,100,81.1
x-ai/grok-2-1212,1.9,100,86.5
openai/GPT-3.5-Turbo,1.925,99.6,84.1
openai/gpt-4.1-nano,2,100,70.2
openai/gpt-4.1,2,100,71.9
xai/grok-3-latest,2.1,100,97.7
Qwen/Qwen3-14B,2.2,100,82.4
openai/gpt-4.1-mini,2.2,100,79.6
ai21/jamba-1.6-large,2.3,99.9,85.6
openai/o1,2.4,99.9,73
openai/o1-pro,2.4,100,81
deepseek/deepseek-chat,2.4,100,83.2
microsoft/Orca-2-13b,2.485,100,66.2
microsoft/Phi-3.5-MoE-instruct,2.5,96.3,69.7
google/gemini-2.5-pro-preview-06-05,2.6,99.6,73.1
Intel/neural-chat-7b-v3-3,2.6,100,60.7
Qwen/Qwen3-4B,2.7,100,87.7
google/gemma-3-12b-it,2.8,100,69.6
Qwen/Qwen2.5-7B-Instruct,2.8,100,71
Qwen/Qwen3-32B,2.8,100,82.4
ai21labs/AI21-Jamba-1.5-Mini,2.9,95.6,74.5
qwen/qwen-max,2.9,88.4,90.4
x-ai/grok-2-vision-1212,2.9,100,79.8
snowflake/snowflake-arctic-instruct,2.982,100,68.7
Qwen/Qwen3-8B,3,100,78.2
Qwen/Qwen2.5-32B-Instruct,3,100,67.9
mistralai/Mistral-Small-24B-Instruct-2501,3.082,100,74.933
microsoft/Phi-3-mini-128k-instruct,3.082,100,60.1
openai/o1-preview,3.3,100,119.3
xai/grok-3-mini-latest,3.3,100,90.2
google/gemini-1.5-flash-002,3.4,99.9,59.4
microsoft/Phi-4-mini-instruct,3.4,100,69.7
openai/chatgpt-4o-latest,3.5,100,63.5
Qwen/Qwen3-0.6B,3.7,100,65.3
google/gemma-3-4b-it,3.7,100,63.7
01-ai/Yi-1.5-34B-Chat,3.7,100,83.7
meta-llama/Meta-Llama-3.1-405B-Instruct,3.9,99.6,85.7
deepseek/deepseek-v3,3.9,100,88.2
microsoft/Phi-3-mini-4k-instruct,3.976,100,86.8
meta-llama/Llama-3.3-70B-Instruct,4,100,85.3
internlm/internlm3-8b-instruct,4,100,97.5
mistralai/Mistral-Large2,4.1,100,77.4
microsoft/Phi-3.5-mini-instruct,4.1,100,75
meta-llama/Llama-3-70B-chat-hf,4.108,99.2,68.5
Qwen/Qwen2.5-14B-Instruct,4.2,100,74.8
Qwen/Qwen2-VL-7B-Instruct,4.2,100,73.9
Qwen/Qwen2.5-72B-Instruct,4.3,100,80.8
Qwen/Qwen3-1.7B,4.4,100,69
anthropic/claude-3-7-sonnet-latest,4.4,100,97.8
anthropic/claude-4-sonnet,4.5,100,116
anthropic/claude-3-7-sonnet-latest-think,4.5,99.8,99.9
cohere/command-a-03-2025,4.5,100,77.3
ai21/jamba-1.6-mini,4.6,100,82.3
xai/grok-beta,4.6,100,91
openai/o4-mini,4.6,100,82
